"discriminating dose, or
diagnostic dose for
resistance","a sample of mosquitoes containing resistant individuals, distinguishes between susceptible and resistant
phenotypes and determines their respective proportions"
"insecticide, dose","Amount of active ingredient of insecticide applied per unit area of treatment (mg/m2) for indoor residual
spraying and treated mosquito nets, or per unit of space (mg/m3) for space spraying and per unit area of
application (g/ha or mg/m2) or per volume of water (mg/L) for larvicides"
"insecticide, mixture","Insecticide product consisting of two or more active ingredients mixed as one formulation so that, when
applied, the mosquito will contact both simultaneously"
insecticide mosaic,"Strategy for mitigating resistance, whereby insecticides with different modes of action are applied in different
parts of an area under coverage (usually in a grid pattern), so that parts of the mosquito populations are
exposed to one insecticide and others to another"
insecticide resistance,"Property of mosquitoes to survive exposure to a standard dose of insecticide; may be the result of
physiological or behavioural adaptation"
insecticide rotation,"Strategy involving sequential applications of insecticides with different modes of action to delay or mitigate
resistance"
insecticide tolerance,Less-than-average susceptibility to insecticide but not inherited as resistance
"insecticide, contact","Insecticide that exerts a toxic action on mosquitoes when they rest on a treated surface; the insecticide is
absorbed via the tarsi (feet)."
"insecticide, fumigant",Insecticide that acts by releasing vapour from a volatile substance
"insecticide, residual","Insecticide that, when suitably applied onto a surface, maintains its insecticidal activity for a considerable time
by either contact or fumigant action"
"integrated vector
management (IVM)",Rational decision-making for optimal use of resources for vector control
"intermittent preventive
treatment of malaria in
school-aged children","Administration of a full treatment course of an antimalarial medicine at predefined intervals to school children,
in order to prevent illness in areas with moderate to high malaria transmission"
"intermittent preventive
treatment in infants
(IPTi)",Please see ‘perennial malaria chemoprevention’
"intermittent preventive
treatment in pregnancy
(IPTp)","A full therapeutic course of antimalarial medicine given to pregnant women at routine prenatal visits,
regardless of whether the woman is infected with malaria"
invasive species,"A non-native species that establishes in a new ecosystem, and causes, or has the potential to cause, harm to
the environment, economy, or human health"
"larval source
management","Management of aquatic habitats (water bodies) that are potential habitats for mosquito larvae, in order to
prevent completion of development of the immature stages"
larvicide,Substance used to kill mosquito larvae
latent period,"For P. vivax and P. ovale infections, the period between the primary infection and subsequent relapses. This
stage is asymptomatic; parasites are absent from the bloodstream but present in hepatocytes."
"long-lasting insecticidal
net (LLIN)","A factory-treated mosquito net made of material into which insecticide is incorporated or bound around the
fibres. The net must retain its effective biological activity for at least 20 WHO standard washes under
laboratory conditions and three years of recommended use under field conditions."
malaria case,"(See Case, malaria)"
"malaria, cerebral",(See Cerebral malaria)
malaria control,"Reduction of disease incidence, prevalence, morbidity or mortality to a locally acceptable level as a result of"
