0,1
5.2.1.4.4 Non-immune travellers ....................................................................................................................................189,
5.2.1.4.5 Uncomplicated hyperparasitaemia ..................................................................................................................190,
"5.2.1.5 Uncomplicated malaria caused by P. vivax, P. ovale, P. malariae or P. knowlesi.......................................................190",
5.2.1.6 Testing for glucose-6-phosphate dehydrogenase (G6PD) deficiency........................................................................194,
5.2.1.7 Anti-relapse treatment of P. vivax and P. ovale..........................................................................................................202,
5.2.2 Treating severe malaria........................................................................................................................................................210,
5.2.2.1 Artesunate..................................................................................................................................................................214,
5.2.2.2 Parenteral alternatives when artesunate is not available...........................................................................................217,
5.2.2.3 Pre-referral treatment options....................................................................................................................................219,
5.2.3 Other considerations in treating malaria...............................................................................................................................221,
5.2.3.1 Management of malaria cases in special situations...................................................................................................221,
5.2.3.2 Quality of antimalarial drugs ......................................................................................................................................223,
5.2.3.3 Monitoring efficacy and safety of antimalarial drugs and resistance..........................................................................223,
5.3 National adaptation and implementation.........................................................................................................................................225,
6. Interventions in the final phase of elimination and prevention of re-establishment,..................................................................................228
6.1 Interventions recommended for mass implementation in delimited geographical areas ................................................................229,
6.1.1 Mass testing and treatment (MTaT)......................................................................................................................................229,
6.2 Interventions targeting infections in people at higher-risk...............................................................................................................231,
6.2.1 Targeted drug administration (TDA) .....................................................................................................................................232,
6.2.2 Targeted testing and treatment (TTaT) .................................................................................................................................236,
6.2.3 Testing and treatment at points of entry to reduce importation of malaria............................................................................238,
6.3 Interventions in response to detection of confirmed malaria cases,................................................................................................240
6.3.1 Reactive drug administration (RDA).....................................................................................................................................241,
6.3.2 Reactive case detection and treatment (RACDT) ................................................................................................................245,
6.3.3 Reactive indoor residual spraying ........................................................................................................................................249,
7. Surveillance..............................................................................................................................................................................................253,
8. Methods....................................................................................................................................................................................................254,
9. Glossary ...................................................................................................................................................................................................259,
10. Contributors and interests,......................................................................................................................................................................270
10.1 Recommendations for vector control ............................................................................................................................................270,
10.2 Recommendations for chemoprevention ......................................................................................................................................278,
10.3 Recommendation for malaria vaccines.........................................................................................................................................282,
10.4 Recommendations for treatment...................................................................................................................................................285,
10.5 Recommendations for interventions in the final phase of elimination and prevention of re-establishment...................................292,
References...................................................................................................................................................................................................295,
"Annex: All evidence profiles, sorted by sections",..........................................................................................................................................313
