,"indigenous, induced, introduced, relapsing or recrudescent"
case management,"Diagnosis, treatment, clinical care, counselling and follow-up of symptomatic malaria infections"
case notification,"Compulsory reporting of all malaria cases by medical units and medical practitioners to either the health department or the malaria control programme, as prescribed by national laws or regulations"
catchment area,"A geographical area defined and served by a health programme or institution, such as a hospital or community health centre, which is delineated on the basis of population distribution, natural boundaries and accessibility by transport"
cerebral malaria,"Severe P. falciparum malaria with impaired consciousness (Glasgow coma scale < 11, Blantyre coma scale < 3) persisting for > 1 hour after a seizure"
certification of malaria- free status,Certification granted by WHO after it has been proved beyond reasonable doubt that local human malaria transmission by Anopheles mosquitoes has been interrupted in an entire country for at least three consecutive years and a national surveillance system and a programme for the prevention of reintroduction are in place
"chemoprevention, seasonal malaria",Intermittent administration of full treatment courses of an antimalarial medicine during the malaria season to prevent malarial illness. The objective is to maintain therapeutic concentrations of an antimalarial drug in the blood throughout the period of greatest risk for malaria.
chemoprophylaxis,"Administration of a medicine, at predefined intervals, to prevent either the development of an infection or progression of an infection to manifest disease"
cluster,Aggregation of relatively uncommon events or diseases in space and/or time in numbers that are considered greater than could be expected by chance
combination therapy,A combination of two or more classes of antimalarial medicine with unrelated mechanisms of action
coverage,A general term referring to the fraction of the population of a specific area that receives a particular intervention
"coverage, optimal","Optimal coverage is the outcome of an explicit prioritization process guiding resource allocation decisions. The process combines the analysis of impact and value for money with extensive stakeholder engagement and discussion that explicitly outlines the trade-offs involved in the selection of interventions and combining them in an intervention package. The process should take into account a country's programmatic goals, context-specific factors, and should consider equity implications of the resource allocation decisions."
"coverage, universal health","Ensuring all individuals and communities receive the health services they need without suffering financial hardship. It includes the full spectrum of essential quality health services from health promotion to prevention, treatment, rehabilitation, and palliative care."
cure,Elimination from an infected person of all malaria parasites that caused the infection
"cure, radical","Elimination of both blood-stage and latent liver infection in cases of P. vivax and P. ovale infection, thereby preventing relapses"
cure rate,Percentage of treated individuals whose infection is cured
cyto-adherence,Propensity of malaria-infected erythrocytes to adhere to the endothelium of the microvasculature of the internal organs of the host
diagnosis,"The process of establishing the cause of an illness (for example, a febrile episode), including both clinical assessment and diagnostic testing"
"diagnosis, molecular",Use of nucleic acid amplification-based tests to detect the presence of malaria parasites
"diagnosis, parasitological",Diagnosis of malaria by detection of malaria parasites or Plasmodium -specific antigens or genes in the blood of an infected individual
diapause,Condition of suspended animation or temporary arrest in the development of immature and adult mosquitoes
dosage regimen (or treatment regimen),"Prescribed formulation, route of administration, dose, dosing interval and duration of treatment with a medicine"
